\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_005688_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 599      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:59:58 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.796138 14.05704 0.00883 
 2454035.796138 14.05659 0.00883 
 2454035.801601 14.06933 0.00808 
 2454036.792748 14.04619 0.00874 
 2454036.798212 14.07648 0.00797 
 2454036.803677 14.06050 0.00745 
 2454037.790288 14.07055 0.00828 
 2454037.795751 14.06365 0.00763 
 2454037.801215 14.06593 0.00754 
 2454038.786837 14.05933 0.00823 
 2454038.792301 14.06699 0.00771 
 2454038.797767 14.06259 0.00812 
 2454039.786156 14.06783 0.00953 
 2454040.782391 14.06935 0.01118 
 2454048.758326 14.04096 0.01171 
 2454048.769051 14.04693 0.01031 
 2454048.774412 14.07611 0.00993 
 2454048.779774 14.03720 0.01065 
 2454050.753257 14.06436 0.01019 
 2454050.758623 14.07634 0.00959 
 2454050.763985 14.06632 0.00895 
 2454050.769353 14.07288 0.00924 
 2454052.749244 14.04287 0.00954 
 2454052.759974 14.06973 0.00851 
 2454052.765340 14.05875 0.00820 
 2454052.770701 14.05188 0.00818 
 2454053.747612 14.06748 0.00866 
 2454053.758345 14.05314 0.00815 
 2454053.763714 14.07647 0.00792 
 2454053.769083 14.05821 0.00775 
 2454054.744176 14.06826 0.00858 
 2454054.754916 14.05981 0.00761 
 2454054.760287 14.06839 0.00742 
 2454054.765656 14.06228 0.00783 
 2454055.738458 14.06112 0.00844 
 2454055.749196 14.07550 0.00767 
 2454055.754566 14.07251 0.00764 
 2454055.759929 14.06438 0.00781 
 2454055.765298 14.05509 0.00764 
 2454056.739140 14.04322 0.00954 
 2454056.744508 14.07528 0.00773 
 2454056.749872 14.06919 0.00824 
 2454056.755241 14.06352 0.00828 
 2454056.760609 14.06740 0.00804 
 2454057.734189 14.05303 0.00911 
 2454057.744929 14.06256 0.00856 
 2454057.750291 14.06668 0.00834 
 2454057.755659 14.05605 0.00840 
 2454057.761029 14.05892 0.00874 
 2454058.733748 14.06869 0.00840 
 2454058.744484 14.06246 0.00859 
 2454058.749848 14.07128 0.00787 
 2454058.755216 14.05123 0.00844 
 2454059.730258 14.07263 0.00862 
 2454059.735624 14.07405 0.00772 
 2454059.740993 14.06524 0.00814 
 2454059.746355 14.06083 0.00802 
 2454059.751725 14.04550 0.00843 
